"","text","CAT","REACH","IDS"
"newrow","Gender","false:false:false","0","549908:549120:"
"newrow","Age Groups","false:false:false","0","549022:549120:"
"newrow","Card Type","false:false:false","0","549030:549120:"
"newrow","Customer","false:false:false","0","549034:549120:"
"newrow","Campaign","false:false:false","0","549037:549120:"
"newrow","netflix","false:false:false","0","549041:549120:"
"newrow","Message+","false:false:false","0","549045:549120:"
"newrow","Nielsen Area","false:false:false","0","549047:549120:"
"newrow","Region","false:false:false","0","549052:549120:"
"newrow","Province","false:false:false","0","549098:549120:"
"newrow","Nationality","false:false:false","0","556777:549120:"
