"","group","text","CAT","REACH","IDS","BK_phints_rule"
"newrow","Gender","F","false:false:false","0","549909:549908:P38943","26B5,is,B5BE"
"newrow","Gender","M","false:false:false","0","549021:549908:P38942","26B5,is,72FF"
"newrow","Age Groups","18 - 19","false:false:false","0","549023:549022:P38941","6615,is,2311"
"newrow","Age Groups","20 - 24","false:false:false","0","549024:549022:P38940","6615,is,5EE2"
"newrow","Age Groups","25 - 34","false:false:false","0","549025:549022:P38939","6615,is,9BE3"
"newrow","Age Groups","35 - 44","false:false:false","0","549026:549022:P38938","6615,is,6BF1"
"newrow","Age Groups","45 - 54","false:false:false","0","549027:549022:P38937","6615,is,3B86"
"newrow","Age Groups","55 - 64","false:false:false","0","549028:549022:P38936","6615,is,0B96"
"newrow","Age Groups",">65","false:false:false","0","549029:549022:P38935","6615,is,8A60"
"newrow","Card Type","RIC","false:false:false","0","549031:549030:P38934","C117,is,6502"
"newrow","Card Type","NOR","false:false:false","0","549032:549030:P38933","C117,is,0F00"
"newrow","Card Type","DAV","false:false:false","0","549033:549030:P38932","C117,is,AE25"
"newrow","Customer","Consumer","false:false:false","0","549035:549034:P38931","5DBC,is,91B1"
"newrow","Customer","Business","false:false:false","0","549036:549034:P38930","5DBC,is,55D9"
"newrow","Campaign","Abbonamento","false:false:false","0","549038:549037:P38929","A259,is,DA15"
"newrow","Campaign","Generico","false:false:false","0","549039:549037:P38928","A259,is,E91D"
"newrow","Campaign","Fibra","false:false:false","0","549040:549037:P38927","A259,is,DDC8"
"newrow","netflix","activation","false:false:false","0","549044:549041:P38926","DFDD,is,0E9B"
"newrow","Message+","true","false:false:false","0","549046:549045:P38925","007B,is,3771"
"newrow","Nielsen Area","Area 1","false:false:false","0","549048:549047:P38924","3A17,is,A0D6"
"newrow","Nielsen Area","Area 2","false:false:false","0","549049:549047:P38923","3A17,is,A196"
"newrow","Nielsen Area","Area 3","false:false:false","0","549050:549047:P38922","3A17,is,6157"
"newrow","Nielsen Area","Area 4","false:false:false","0","549051:549047:P38921","3A17,is,A316"
"newrow","Region","Abruzzo","false:false:false","0","549053:549052:P38920","D522,is,E68C"
"newrow","Region","Basilicata","false:false:false","0","549054:549052:P38919","D522,is,2A40"
"newrow","Region","Calabria","false:false:false","0","549055:549052:P38918","D522,is,EB23"
"newrow","Region","Campania","false:false:false","0","549056:549052:P38917","D522,is,BB1F"
"newrow","Region","Emilia-Romagna","false:false:false","0","549057:549052:P38916","D522,is,064A"
"newrow","Region","Friuli-Venezia Giulia","false:false:false","0","549058:549052:P38915","D522,is,8070"
"newrow","Region","Lazio","false:false:false","0","549059:549052:P38914","D522,is,D10D"
"newrow","Region","Liguria","false:false:false","0","549060:549052:P38913","D522,is,A851"
"newrow","Region","Lombardia","false:false:false","0","549061:549052:P38912","D522,is,BD69"
"newrow","Region","Marche","false:false:false","0","549062:549052:P38911","D522,is,6DF1"
"newrow","Region","Molise","false:false:false","0","549063:549052:P38910","D522,is,76B4"
"newrow","Region","Piemonte","false:false:false","0","549064:549052:P38909","D522,is,5330"
"newrow","Region","Puglia","false:false:false","0","549065:549052:P38908","D522,is,BFF6"
"newrow","Region","Sardegna","false:false:false","0","549066:549052:P38907","D522,is,D9FF"
"newrow","Region","Sicilia","false:false:false","0","549067:549052:P38906","D522,is,3F29"
"newrow","Region","Toscana","false:false:false","0","549068:549052:P38905","D522,is,710E"
"newrow","Region","Trentino-Alto Adige","false:false:false","0","549069:549052:P38904","D522,is,D411"
"newrow","Region","Umbria","false:false:false","0","549070:549052:P38903","D522,is,22B6"
"newrow","Region","Valle d'Aosta","false:false:false","0","549071:549052:P38902","D522,is,D715"
"newrow","Region","Veneto","false:false:false","0","549072:549052:P38901","D522,is,106C"
"newrow","Province","Agrigento","false:false:false","0","549099:549098:P38880","3E43,is,3D0F"
"newrow","Province","Alessandria","false:false:false","0","549100:549098:P38879","3E43,is,BCF1"
"newrow","Province","Ancona","false:false:false","0","549101:549098:P38878","3E43,is,70FF"
"newrow","Province","Aosta","false:false:false","0","549102:549098:P38877","3E43,is,B295"
"newrow","Province","Arezzo","false:false:false","0","549103:549098:P38876","3E43,is,3AB1"
"newrow","Province","Ascoli Piceno","false:false:false","0","549104:549098:P38875","3E43,is,5923"
"newrow","Province","Asti","false:false:false","0","549105:549098:P38874","3E43,is,ABDB"
"newrow","Province","Avellino","false:false:false","0","549106:549098:P38873","3E43,is,4570"
"newrow","Province","Bari","false:false:false","0","549107:549098:P38872","3E43,is,4A78"
"newrow","Province","Barletta","false:false:false","0","549108:549098:P38871","3E43,is,484D"
"newrow","Province","Belluno","false:false:false","0","549109:549098:P38870","3E43,is,A563"
"newrow","Province","Benevento","false:false:false","0","549110:549098:P38869","3E43,is,1ABB"
"newrow","Province","Bergamo","false:false:false","0","549111:549098:P38868","3E43,is,7789"
"newrow","Province","Biella","false:false:false","0","549112:549098:P38867","3E43,is,6BBB"
"newrow","Province","Bologna","false:false:false","0","549113:549098:P38866","3E43,is,8A42"
"newrow","Province","Bolzano","false:false:false","0","549114:549098:P38865","3E43,is,4327"
"newrow","Province","Brescia","false:false:false","0","549115:549098:P38864","3E43,is,67D9"
"newrow","Province","Brindisi","false:false:false","0","549116:549098:P38863","3E43,is,AE87"
"newrow","Province","Cagliari","false:false:false","0","549117:549098:P38862","3E43,is,B39E"
"newrow","Province","Caltanissetta","false:false:false","0","549118:549098:P38861","3E43,is,4D19"
"newrow","Province","Campobasso","false:false:false","0","549119:549098:P38860","3E43,is,5270"
"newrow","Province","Carbonia - Iglesias","false:false:false","0","556688:549098:P38859","3E43,is,4F7F"
"newrow","Province","Caserta","false:false:false","0","556689:549098:P38858","3E43,is,DADF"
"newrow","Province","Catania","false:false:false","0","556690:549098:P38857","3E43,is,BCA3"
"newrow","Province","Catanzaro","false:false:false","0","556691:549098:P38856","3E43,is,4919"
"newrow","Province","Chieti","false:false:false","0","556692:549098:P38855","3E43,is,EE5F"
"newrow","Province","Como","false:false:false","0","556693:549098:P38854","3E43,is,4790"
"newrow","Province","Cosenza","false:false:false","0","556694:549098:P38853","3E43,is,521B"
"newrow","Province","Cremona","false:false:false","0","556695:549098:P38852","3E43,is,BC0D"
"newrow","Province","Crotone","false:false:false","0","556696:549098:P38851","3E43,is,2293"
"newrow","Province","Cuneo","false:false:false","0","556697:549098:P38850","3E43,is,F8F6"
"newrow","Province","Enna","false:false:false","0","556698:549098:P38849","3E43,is,3B40"
"newrow","Province","Fermo","false:false:false","0","556699:549098:P38848","3E43,is,3EF8"
"newrow","Province","Ferrara","false:false:false","0","556700:549098:P38847","3E43,is,4F41"
"newrow","Province","Firenze","false:false:false","0","556701:549098:P38846","3E43,is,3772"
"newrow","Province","Foggia","false:false:false","0","556702:549098:P38845","3E43,is,C541"
"newrow","Province","Forl� - Cesena","false:false:false","0","556703:549098:P38844","3E43,is,27D4"
"newrow","Province","Frosinone","false:false:false","0","556704:549098:P38843","3E43,is,4796"
"newrow","Province","Genova","false:false:false","0","556705:549098:P38842","3E43,is,7B52"
"newrow","Province","Gorizia","false:false:false","0","556706:549098:P38841","3E43,is,362D"
"newrow","Province","Grosseto","false:false:false","0","556707:549098:P38840","3E43,is,70EC"
"newrow","Province","Imperia","false:false:false","0","556708:549098:P38839","3E43,is,4638"
"newrow","Province","Isernia","false:false:false","0","556709:549098:P38838","3E43,is,49F2"
"newrow","Province","La Spezia","false:false:false","0","556710:549098:P38837","3E43,is,8B1D"
"newrow","Province","L'Aquila","false:false:false","0","556711:549098:P38836","3E43,is,079C"
"newrow","Province","Latina","false:false:false","0","556712:549098:P38835","3E43,is,D94F"
"newrow","Province","Lecce","false:false:false","0","556713:549098:P38834","3E43,is,5DB4"
"newrow","Province","Lecco","false:false:false","0","556714:549098:P38833","3E43,is,5A34"
"newrow","Province","Livorno","false:false:false","0","556715:549098:P38832","3E43,is,EE64"
"newrow","Province","Lodi","false:false:false","0","556716:549098:P38831","3E43,is,115"
"newrow","Province","Lucca","false:false:false","0","556717:549098:P38830","3E43,is,5EB1"
"newrow","Province","Macerata","false:false:false","0","556718:549098:P38829","3E43,is,38C6"
"newrow","Province","Mantova","false:false:false","0","556719:549098:P38828","3E43,is,4248"
"newrow","Province","Massa","false:false:false","0","556720:549098:P38827","3E43,is,6B85"
"newrow","Province","Matera","false:false:false","0","556721:549098:P38826","3E43,is,CB86"
"newrow","Province","Messina","false:false:false","0","556722:549098:P38825","3E43,is,B14E"
"newrow","Province","Milano","false:false:false","0","556723:549098:P38824","3E43,is,6FA9"
"newrow","Province","Modena","false:false:false","0","556724:549098:P38823","3E43,is,0AE3"
"newrow","Province","Monza - Brianza","false:false:false","0","556725:549098:P38822","3E43,is,9098"
"newrow","Province","Napoli","false:false:false","0","556726:549098:P38821","3E43,is,ACAF"
"newrow","Province","Novara","false:false:false","0","556727:549098:P38820","3E43,is,40AF"
"newrow","Province","Nuoro","false:false:false","0","556728:549098:P38819","3E43,is,985"
"newrow","Province","Ogliastra","false:false:false","0","556729:549098:P38818","3E43,is,B792"
