Clear Name,Clear Value,Hashed Name,Hashed Value
Gender,F,26B5,B5BE
Gender,M,26B5,72FF
Nationality,ITALIA,18A5,E079
Nationality,Foreign,18A5,774C
Age Groups,18 - 24,6615,16D0
Age Groups,25 - 34,6615,9BE3
Age Groups,35 - 44,6615,6BF1
Age Groups,45 - 54,6615,3B86
Age Groups,>=55,6615,FD3B
Card Type,RIC,C117,6502
Card Type,NOR,C117,0F00
Customer,Business,5DBC,55D9
Customer,Consumer,5DBC,91B1
Nielsen Area,Area 1,3A17,A0D6
Nielsen Area,Area 2,3A17,A196
Nielsen Area,Area 3,3A17,6157
Nielsen Area,Area 4,3A17,A316
Proposition,Voice,2EE5,A470
Proposition,Data Card / Tablet,2EE5,3AD8
Payment,Cash - PrePay,4AFE,5042
Payment,Bank,4AFE,EA53
Payment,Credit Card,4AFE,BDA0
Spending Level,Low,99D2,DC36
Spending Level,Medium,99D2,FB12
Spending Level,Medium High,99D2,82E4
Spending Level,High,99D2,09B1
Province,Agrigento,3E43,3D0F
Province,Alessandria,3E43,BCF1
Province,Ancona,3E43,70FF
Province,Aosta,3E43,B295
Province,Ascoli Piceno,3E43,5923
Province,L'Aquila,3E43,079C
Province,Arezzo,3E43,3AB1
Province,Asti,3E43,ABDB
Province,Avellino,3E43,4570
Province,Bari,3E43,4A78
Province,Bergamo,3E43,7789
Province,Biella,3E43,6BBB
Province,Belluno,3E43,A563
Province,Benevento,3E43,1ABB
Province,Bologna,3E43,8A42
Province,Brindisi,3E43,AE87
Province,Brescia,3E43,67D9
Province,Barletta,3E43,484D
Province,Bolzano,3E43,4327
Province,Cagliari,3E43,B39E
Province,Campobasso,3E43,5270
Province,Caserta,3E43,DADF
Province,Chieti,3E43,EE5F
Province,Carbonia - Iglesias,3E43,4F7F
Province,Caltanissetta,3E43,4D19
Province,Cuneo,3E43,F8F6
Province,Como,3E43,4790
Province,Cremona,3E43,BC0D
Province,Cosenza,3E43,521B
Province,Catania,3E43,BCA3
Province,Catanzaro,3E43,4919
Province,Enna,3E43,3B40
Province,Forlì - Cesena,3E43,27D4
Province,Ferrara,3E43,4F41
Province,Foggia,3E43,C541
Province,Firenze,3E43,3772
Province,Fermo,3E43,3EF8
Province,Frosinone,3E43,4796
Province,Genova,3E43,7B52
Province,Gorizia,3E43,362D
Province,Grosseto,3E43,70EC
Province,Imperia,3E43,4638
Province,Isernia,3E43,49F2
Province,Crotone,3E43,2293
Province,Lecco,3E43,5A34
Province,Lecce,3E43,5DB4
Province,Livorno,3E43,EE64
Province,Lodi,3E43,0115
Province,Latina,3E43,D94F
Province,Lucca,3E43,5EB1
Province,Monza - Brianza,3E43,9098
Province,Macerata,3E43,38C6
Province,Messina,3E43,B14E
Province,Milano,3E43,6FA9
Province,Mantova,3E43,4248
Province,Modena,3E43,0AE3
Province,Massa,3E43,6B85
Province,Matera,3E43,CB86
Province,Napoli,3E43,ACAF
Province,Novara,3E43,40AF
Province,Nuoro,3E43,0985
Province,Ogliastra,3E43,B792
Province,Oristano,3E43,65A6
Province,Olbia - Tempio,3E43,F309
Province,Palermo,3E43,8DE2
Province,Piacenza,3E43,5837
Province,Padova,3E43,44A3
Province,Pescara,3E43,720E
Province,Perugia,3E43,0BDD
Province,Pisa,3E43,A6FC
Province,Pordenone,3E43,956E
Province,Prato,3E43,1C4E
Province,Parma,3E43,0931
Province,Pistoia,3E43,3960
Province,Pesaro - Urbino,3E43,51A8
Province,Pavia,3E43,0872
Province,Potenza,3E43,538C
Province,Ravenna,3E43,7DD8
Province,Reggio Calabria,3E43,51C6
Province,Reggio Emilia,3E43,7659
Province,Ragusa,3E43,7580
Province,Rieti,3E43,FBF0
Province,Roma,3E43,BF14
Province,Rimini,3E43,3CAB
Province,Rovigo,3E43,8AA3
Province,Salerno,3E43,7DD1
Province,Siena,3E43,9DC7
Province,Sondrio,3E43,5FAA
Province,La Spezia,3E43,8B1D
Province,Siracusa,3E43,F17A
Province,Sassari,3E43,F039
Province,Savona,3E43,0FAC
Province,Taranto,3E43,29C4
Province,Teramo,3E43,BFBD
Province,Trento,3E43,9BF7
Province,Torino,3E43,8CA4
Province,Trapani,3E43,14FD
Province,Terni,3E43,CFC0
Province,Trieste,3E43,B9B3
Province,Treviso,3E43,CC04
Province,Udine,3E43,F18C
Province,Varese,3E43,FB85
Province,Verbania,3E43,1148
Province,Vercelli,3E43,B7D7
Province,Venezia,3E43,0FFE
Province,Vicenza,3E43,369E
Province,Verona,3E43,AA5C
Province,Villacidro - Sanluri,3E43,F7BE
Province,Viterbo,3E43,37A0
Province,Vibo Valentia,3E43,6679
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
