group,section
notizie,tgcom24
notizie,tg5
notizie,studioaperto
notizie,pomeriggio_5
notizie,verissimo
notizie,sportmediaset
notizie,champions_league
scolastico,amici
scolastico,uominiedonne
scolastico,cepostaperte
scolastico,pequenos_gigantes
scolastico,iene
scolastico,quarto_grado
scolastico,quinta_colonna
scolastico,colorado_cafe
scolastico,zelig
scolastico,wittytv
scolastico,lucignolo
serie,beatiful
serie,tempesta_d_amore
format,gf
format,l_isola_dei_famosi
format,temptation_island
format,italia_s_got_talent
format,missing_mediacode
produzioni,i_cesaroni
produzioni,centovetrine
produzioni,squadra_antimafia
produzioni,il_segreto
produzioni,senza_identita
produzioni,l_onore_e_il_rispetto
produzioni,tutti_insieme_all_improvviso
produzioni,avanti_un_altro
produzioni,le_tre_rose_di_eva
programmatic,Test
programmatic,XAXIS
