node1,node2,reach
Yahoo Premium Audience,,
Content Interests,Apparel,
Content Interests,Arts And Entertainment,56000000
Content Interests,Beauty,856000000
Content Interests,Business,181000000
Content Interests,Education,299000000
Content Interests,Family And Relationships,186000000
Content Interests,Fince,517000000
Content Interests,Food And Cooking,325000000
Content Interests,Health,17000000
Content Interests,Hobbies And Persol Activities,603000000
Content Interests,Home And Garden,288000000
Content Interests,Humanities,166000000
Content Interests,ture And Environment,354000000
Content Interests,Real Estate,
Content Interests,Science,137000000
Content Interests,Society And Culture,156000000
Content Interests,Sports And Recreation,675000000
Content Interests,Transportation,
Content Interests,Travel And Tourism,309000000
Content Interests,Flurry,19000000
Content Interests,Demographic Estimates, 
Content Interests,Syndicated Segments, 
Purchase Prediction,,
Purchase Prediction,Animal Lovers, 
Purchase Prediction,Apps and Games, 
Purchase Prediction,Auto Parts, 
Purchase Prediction,Babies and Kids, 
Purchase Prediction,Clothing and Shoes, 
Purchase Prediction,Dating, 
Purchase Prediction,Electronics and Software, 
Purchase Prediction,Entertainment, 
Purchase Prediction,Fince, 
Purchase Prediction,Grocery, 
Purchase Prediction,Health and Beauty, 
Purchase Prediction,Home and Office, 
Purchase Prediction,Retail, 
Purchase Prediction,Sporting Goods, 
Purchase Prediction,Travel, 
Semantic Search,Brand Type,
Semantic Search,Industry,
Semantic Search,Notability Category,
Semantic Search,Smart TV Data,
Semantic Search,In-app Ads,
Semantic Search,TV Ads,
Semantic Search,TV Apps,157000000
Semantic Search,TV Shows,
Social Brand,,
Social Brand,Entertainment,
Social Brand,Publishing,
Social Brand,Retail,
Social Brand,Travel & Transportation,
Yahoo Demographics,,
Yahoo Demographics,Yahoo Games,
Yahoo Demographics,Yahoo Games Users, 
Yahoo Mail,Automotive,
Yahoo Mail,Business & Fince,1066000000
Yahoo Mail,Custom Segments,1001000000
Yahoo Mail,Demographics,
Yahoo Mail,Electronics & Computers,916000000
Yahoo Mail,Entertainment Purchase Receipts,
Yahoo Mail,Entertainment Segments,193000000
Yahoo Mail,Food and Drink,1268000000
Yahoo Mail,Insurance,107000000
Yahoo Mail,Life Stages,597000000
Yahoo Mail,Pets,1525000000
Yahoo Mail,Product Purchase Categories,40000000
Yahoo Mail,Product Purchase Receipts,441000000
